Sector	Organization Name (CN)	Industry	Rank	Total Amout	Donation Amount (mil ￥)	Donation Month	Donation Date	Sumif(origin=dest)	Donation Origin (Province)	Donation Origin (City)	Donation Destination (Province)	Donation Destination (City)	Name of Recipient	Name of Recipient (CN)	Donation for what program?	Type of Recipient	Donation Cause	Donation Vehicle	Form of Donation	Pledge? (Y/N)	Donation Link	Donation Link 2	Donation Link 3	Other Donation Link(s)
Private	河仁慈善基金会	Manufacturing	9	219.5	100	6	27	0	Beijing	Beijing	Fujian	Xiamen		厦门大学教育发展基金会	修建图书馆	University or University Foundation	Education	Individual Foundation	Cash	N	http://edf.xmu.edu.cn/Donate?key=%E6%B2%B3%E4%BB%81&cate=			
Private	河仁慈善基金会	Manufacturing	9	219.5	40	9	8	0	Beijing	Beijing	Fujian	Fuzhou		福建福州市政府	专项用于资助两地因“７_９洪灾”倒塌户的安置房建设	Government	Disaster Relief	Individual Foundation	Cash	N	http://www.hcf.org.cn/web/info/603.html	http://www.fujian.gov.cn/xw/fjyw/201705/t20170516_1524841.htm		
Private	河仁慈善基金会	Manufacturing	9	219.5	15	7	14	0	Beijing	Beijing	Fujian	Fuzhou		福建福州市政府	用于帮助灾区群众生产生活的救急救难和灾后重建	Government	Disaster Relief	Individual Foundation	Cash	N	http://www.hcf.org.cn/web/info/476.html	http://www.fujian.gov.cn/xw/ztzl/fxkh/gzdt/201609/t20160922_1216368.htm		
Private	河仁慈善基金会	Manufacturing	9	219.5	10	9	8	0	Beijing	Beijing	Hubei	Jingmen		湖北荆门市政府	专项用于沙洋县和屈家岭管理区等地灾后连片安置房建设	Government	Disaster Relief	Individual Foundation	Cash	N	http://www.hbtyzx.gov.cn/index.php?m=content&c=index&a=show&catid=111&id=29115	http://www.hcf.org.cn/web/info/494.html		
Private	河仁慈善基金会	Manufacturing	9	219.5	10	6	17	0	Beijing	Beijing	Fujian	Xiamen		福建省政府	联村帮扶	Government	Social Welfare & Poverty Alleviation	Individual Foundation	Cash	N	http://www.hcf.org.cn/web/info/475.html	http://www.fujian.gov.cn/xw/ztzl/fxkh/gzdt/201609/t20160922_1216368.htm		
Private	河仁慈善基金会	Manufacturing	9	219.5	10	6	17	0	Beijing	Beijing	Guizhou	Bijie		贵州省政府	联村帮扶	Government	Social Welfare & Poverty Alleviation	Individual Foundation	Cash	N	http://www.hcf.org.cn/web/info/475.html	http://www.zytzb.gov.cn/tzb2010/tpgj/201701/f17ea5e7c19b40ddb42781dbbefcd063.shtml	http://www.gzhezhang.gov.cn/HZGOV/A/02/33452.shtml	
Private	河仁慈善基金会	Manufacturing	9	219.5	10	6	17	0	Beijing	Beijing	Hubei	Zhongxiang		湖北省政府	联村帮扶	Government	Social Welfare & Poverty Alleviation	Individual Foundation	Cash	N	http://www.hcf.org.cn/web/info/475.html	http://www.hbtyzx.gov.cn/index.php?m=content&c=index&a=show&catid=111&id=32989		
Private	河仁慈善基金会	Manufacturing	9	219.5	5			5	Beijing	Beijing	Beijing	Beijing		中国教育发展基金会		Government Charitable Organization	Education	Individual Foundation	Cash	N	http://www.cedf.org.cn/2016dw/donate.do?method=list&cid=1005646086&year=2016			
Private	河仁慈善基金会	Manufacturing	9	219.5	3	9	21	0	Beijing	Beijing	Fujian	Xiamen		福建省人民政府	用于灾后救助和重建，帮助灾区尽快恢复生产生活，重建家园。	Government	Disaster Relief	Individual Foundation	Cash	N	http://www.hcf.org.cn/web/info/493.html	http://www.fujian.gov.cn/xw/ztzl/fxkh/gzdt/201609/t20160922_1216368.htm		
Private	河仁慈善基金会	Manufacturing	9	219.5	3	9	21	0	Beijing	Beijing	Fujian	Zhangzhou		福建省人民政府	用于灾后救助和重建，帮助灾区尽快恢复生产生活，重建家园。	Government	Disaster Relief	Individual Foundation	Cash	N	http://www.hcf.org.cn/web/info/493.html	http://www.fujian.gov.cn/xw/ztzl/fxkh/gzdt/201609/t20160922_1216368.htm		
